"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"POLR2E",0.00462542851361076,0.422543548129472,0.387,0.161,1,"7","POLR2E"
"CAPZA22",0.00463488259289378,0.274780745421158,0.484,0.207,1,"7","CAPZA2"
"MAGOH",0.00465269923110636,0.328623564502443,0.419,0.173,1,"7","MAGOH"
"MID1IP1",0.00475169727610317,0.396170945769671,0.323,0.125,1,"7","MID1IP1"
"U2AF1L4",0.00475393825025876,0.507156431842773,0.258,0.09,1,"7","U2AF1L4"
"WAS1",0.00476028212972303,0.541508939186591,0.484,0.218,1,"7","WAS"
"C20orf272",0.00482735236148081,0.34316207413036,0.323,0.127,1,"7","C20orf27"
"COX7A2L1",0.00489446767901763,0.436825161467377,0.806,0.438,1,"7","COX7A2L"
"TNFRSF1A1",0.00490399201163855,0.313714920139157,0.258,0.091,1,"7","TNFRSF1A"
"HNRNPC",0.00496442266559837,0.365604332638542,0.839,0.398,1,"7","HNRNPC"
"PRKCSH",0.0049645211150092,0.499177425442772,0.355,0.141,1,"7","PRKCSH"
"RNASEH2B1",0.00496757665555298,0.588894818899584,0.387,0.164,1,"7","RNASEH2B"
"ORMDL1",0.00501145893337443,0.295417435771338,0.452,0.186,1,"7","ORMDL1"
"KDELR1",0.00503251148947149,0.339678561904782,0.29,0.105,1,"7","KDELR1"
"NFKBIA1",0.00503990239766185,0.257616705671315,0.871,0.451,1,"7","NFKBIA"
"UFC1",0.00525189052817972,0.461005456557835,0.71,0.372,1,"7","UFC1"
"TMED2",0.00536587823101678,0.465236629854901,0.581,0.273,1,"7","TMED2"
"NME4",0.00546586575534594,0.315069776943552,0.323,0.122,1,"7","NME4"
"NUP2142",0.00565867728999802,0.295642641085941,0.355,0.142,1,"7","NUP214"
"SF3A3",0.0056679266618989,0.483472783442396,0.258,0.093,1,"7","SF3A3"
"MRPS61",0.00567364701364326,0.33957879475168,0.387,0.161,1,"7","MRPS6"
"ZNF511",0.00569593569787655,0.633759444431912,0.258,0.095,1,"7","ZNF511"
"PSMA3",0.00571653767267561,0.688711993303168,0.355,0.15,1,"7","PSMA3"
"MRPL55",0.0057958170742373,0.312091106714129,0.419,0.172,1,"7","MRPL55"
"ATRAID1",0.0058267633133407,0.306709620485445,0.613,0.273,1,"7","ATRAID"
"PHB2",0.00587850882767779,0.570188551958353,0.452,0.2,1,"7","PHB2"
"SNRPB1",0.00604911850930698,0.332925929499131,0.71,0.343,1,"7","SNRPB"
"UBE2J11",0.00611682917484049,0.536939249731618,0.29,0.112,1,"7","UBE2J1"
"LSM71",0.00613750165040861,0.890871669179896,0.581,0.267,1,"7","LSM7"
"ATP1B31",0.00616650747838877,0.373922866293155,0.387,0.163,1,"7","ATP1B3"
"IFI62",0.00623092424551287,0.714760533881913,0.677,0.4,1,"7","IFI6"
"TMEM230",0.00633860464215437,0.303755992011373,0.677,0.309,1,"7","TMEM230"
"BEX4",0.00640085117779376,0.538340758950311,0.29,0.113,1,"7","BEX4"
"MDH11",0.00647658398156479,0.751746681413085,0.516,0.233,1,"7","MDH1"
"C21orf59",0.00647987549853005,0.737760291413068,0.258,0.096,1,"7","C21orf59"
"SEC11A2",0.00649941009349324,0.344144117484037,0.677,0.326,1,"7","SEC11A"
"ATF41",0.00652098276682051,0.365525615130267,0.516,0.237,1,"7","ATF4"
"FLOT11",0.00664989071503706,1.0929492085539,0.29,0.113,1,"7","FLOT1"
"ARPC52",0.00670872275530222,0.333339106214413,0.839,0.524,1,"7","ARPC5"
"VIMP1",0.00676483129486776,0.588439634220531,0.355,0.15,1,"7","VIMP"
"TSEN34",0.00679268849114217,0.376903949278996,0.258,0.094,1,"7","TSEN34"
"MYEOV21",0.0069460770562012,0.297702146116807,0.516,0.225,1,"7","MYEOV2"
"PRDX61",0.00704002605103772,0.296820129623875,0.613,0.283,1,"7","PRDX6"
"GPX42",0.00704857330384621,0.506844631032436,0.806,0.541,1,"7","GPX4"
"PSMB11",0.00708916073197771,0.467776368652194,0.903,0.462,1,"7","PSMB1"
"C20orf242",0.00712977491292579,0.309712628487973,0.645,0.306,1,"7","C20orf24"
"IFNGR22",0.00715058246635044,0.585969892415106,0.355,0.155,1,"7","IFNGR2"
"RFXANK",0.00716518762286639,0.31432003614504,0.29,0.111,1,"7","RFXANK"
"ATP5G21",0.00728137207283106,0.288779852016467,1,0.821,1,"7","ATP5G2"
"XRCC61",0.00738149445535264,0.29273669888602,0.677,0.323,1,"7","XRCC6"
